ref,date,vendor,category,desc,amount,pct,her_share,include,in_window,note,file
C-176,2024-08-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-177,2024-09-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-178,2024-10-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-179,2024-11-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-180,2024-12-22,AT&T Business (Pearsons Luggage),AT&T Business,AT&T business 2024-12 — Lindsey's $100 portion — her portion of shared wireless plan,100.0,0,100.0,True,True,manual,(manual entry - config.json)
C-181,2025-01-22,AT&T Business (Pearsons Luggage),AT&T Business,AT&T business 2025-01 — Lindsey's $100 portion — her portion of shared wireless plan,100.0,0,100.0,True,True,manual,(manual entry - config.json)
C-182,2025-02-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-183,2025-03-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-184,2025-04-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-185,2025-05-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-186,2025-06-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-187,2025-07-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
C-188,2025-08-22,AT&T Business (Pearsons Luggage),AT&T Business,Her portion of shared wireless plan (family bill),100.0,0,100.0,True,True,email-sourced | $100/mo portion per agreement,(shared family wireless plan - statement available on request)
